country,global-index-rank,global-index-score,economic-participation-opportunity-rank,economic-participation-opportunity-score,educational-attainment-rank,educational-attainment-score,health-survival-rank,health-survival-score,political-empowerment-rank,political-empowerment-score
Iceland,1,0.858,16,0.793,39,0.999,121,0.968,1,0.674
Norway,2,0.835,11,0.806,41,0.999,95,0.972,3,0.563
Sweden,3,0.822,9,0.808,52,0.998,115,0.969,7,0.512
Finland,4,0.821,17,0.786,1,1.000,60,0.977,6,0.519
Nicaragua,5,0.809,69,0.679,36,1.000,1,0.980,2,0.576
Rwanda,6,0.804,30,0.743,109,0.961,90,0.973,4,0.539
New Zealand,7,0.801,23,0.761,1,1.000,107,0.970,9,0.472
Philippines,8,0.799,14,0.801,1,1.000,42,0.979,13,0.416
Ireland,9,0.796,43,0.725,57,0.996,111,0.970,8,0.493
Namibia,10,0.789,12,0.804,42,0.999,1,0.980,20,0.375
Slovenia,11,0.784,15,0.795,29,1.000,1,0.980,22,0.361
France,12,0.779,63,0.685,1,1.000,78,0.974,10,0.458
Denmark,13,0.778,38,0.734,1,1.000,100,0.971,15,0.406
Germany,14,0.776,36,0.734,97,0.976,85,0.973,12,0.418
United Kingdom,15,0.774,52,0.705,38,0.999,110,0.970,11,0.421
Canada,16,0.771,27,0.748,1,1.000,104,0.971,21,0.365
Latvia,17,0.758,10,0.807,1,1.000,1,0.980,42,0.246
Bulgaria,18,0.756,50,0.708,87,0.989,42,0.979,25,0.346
South Africa,19,0.755,91,0.645,72,0.992,1,0.980,17,0.404
Switzerland,20,0.755,34,0.739,80,0.991,108,0.970,29,0.320
Barbados,21,0.753,2,0.871,1,1.000,72,0.976,77,0.166
Costa Rica,22,0.749,105,0.614,1,1.000,63,0.977,16,0.406
Cuba,23,0.749,97,0.627,40,0.999,77,0.975,18,0.396
Lithuania,24,0.749,21,0.765,53,0.997,1,0.980,41,0.254
Bolivia,25,0.748,95,0.630,96,0.976,51,0.979,14,0.408
Lao PDR,26,0.748,1,0.915,105,0.968,98,0.971,89,0.137
Netherlands,27,0.747,56,0.698,1,1.000,120,0.968,28,0.323
Belarus,28,0.747,6,0.838,49,0.998,52,0.979,74,0.173
Spain,29,0.746,80,0.660,47,0.998,93,0.972,24,0.354
Bahamas,30,0.741,3,0.863,1,1.000,1,0.980,100,0.122
Burundi,31,0.741,5,0.839,130,0.890,55,0.978,40,0.255
Belgium,32,0.738,49,0.714,34,1.000,85,0.973,39,0.264
Estonia,33,0.734,42,0.729,1,1.000,42,0.979,51,0.228
Albania,34,0.734,54,0.701,91,0.987,134,0.963,34,0.284
Moldova,35,0.733,18,0.785,69,0.993,1,0.980,72,0.176
Argentina,36,0.733,114,0.599,63,0.995,1,0.980,23,0.356
Portugal,37,0.732,44,0.721,82,0.991,54,0.978,46,0.240
Serbia,38,0.730,76,0.672,51,0.998,1,0.980,37,0.272
Australia,39,0.730,46,0.718,1,1.000,103,0.971,49,0.232
Colombia,40,0.729,39,0.733,1,1.000,1,0.980,59,0.203
Ecuador,41,0.729,82,0.657,59,0.996,58,0.978,35,0.283
Poland,42,0.728,51,0.706,50,0.998,1,0.980,50,0.230
Uganda,43,0.724,55,0.700,126,0.913,1,0.980,32,0.305
Jamaica,44,0.724,29,0.747,1,1.000,68,0.976,75,0.171
Panama,45,0.722,59,0.693,64,0.995,1,0.980,53,0.222
Israel,46,0.722,66,0.684,1,1.000,97,0.971,48,0.232
Zimbabwe,47,0.721,40,0.730,92,0.986,1,0.980,63,0.190
Bangladesh,48,0.721,133,0.441,116,0.950,117,0.969,5,0.526
Mozambique,49,0.721,74,0.675,131,0.889,1,0.980,26,0.340
Mexico,50,0.721,122,0.574,58,0.996,50,0.979,27,0.335
United States,51,0.720,19,0.782,46,0.998,71,0.976,98,0.125
Peru,52,0.720,94,0.634,89,0.988,65,0.977,36,0.282
Austria,53,0.718,81,0.658,1,1.000,81,0.974,44,0.242
Chile,54,0.717,120,0.585,37,0.999,59,0.977,31,0.307
Botswana,55,0.715,13,0.802,1,1.000,1,0.980,126,0.079
Uruguay,56,0.715,77,0.664,32,1.000,1,0.980,54,0.216
Cameroon,57,0.714,8,0.816,133,0.876,89,0.973,61,0.191
Mongolia,58,0.714,20,0.780,70,0.993,1,0.980,109,0.102
Croatia,59,0.712,67,0.681,44,0.998,1,0.980,62,0.191
Kazakhstan,60,0.712,32,0.741,30,1.000,42,0.979,94,0.130
Luxembourg,61,0.712,60,0.693,1,1.000,91,0.972,67,0.184
Bosnia and Herzegovina,62,0.712,115,0.599,94,0.981,1,0.980,33,0.290
Romania,63,0.711,53,0.705,56,0.996,1,0.980,79,0.162
Venezuela,64,0.709,61,0.691,55,0.997,1,0.980,76,0.167
Ukraine,65,0.708,28,0.747,26,1.000,56,0.978,105,0.107
"Macedonia, FYR",66,0.707,103,0.620,68,0.993,73,0.976,45,0.241
Singapore,67,0.707,24,0.761,88,0.988,130,0.965,103,0.113
